;Barcode;Title;Year;Location
369.6;HV079163;Windows of the world;2006;Bibliotheek AMFI
369.6;TM011130;Een actief imago en een aantrekkelijk winkelinterieur;1996;Bibliotheek AMFI
369.6;TM000518;Erfolg mit Shop-in-the-Shop;1995;Bibliotheek AMFI
369.6;TM017012;Commercial space;1996;Bibliotheek AMFI
369.6;HV004459;Espacio-identidad-empresa;2003;Bibliotheek AMFI
369.6;HV040990;Fashion retail;2004;Bibliotheek AMFI
369.6;HV037228;Designing exhibitions;2006;Bibliotheek AMFI
369.6;TM016500;Contemporary visual merchandising;1999;Bibliotheek AMFI
369.6;TM014258;New retail;2000;Bibliotheek AMFI
369.6;TM024031;Visual merchandising;1991;Bibliotheek AMFI
369.6;FM002853;Confessions of a window dresser;1998;Bibliotheek AMFI
369.6;FM002588;Retail fashion promotion and advertising;1992;Bibliotheek AMFI
369.6;HV039577;Dress code;2006;Bibliotheek AMFI
 369.6  2012/13 /;HV099777;Shopping;2010;Bibliotheek AMFI
369.6;TM010186;Vizier;1995;Bibliotheek AMFI
 369.6  1;TM010189;HandelW?zer;1993;Bibliotheek AMFI
 369.6  2;TM010190;HandelW?zer;1993;Bibliotheek AMFI
369.6;TM010110;Winkelinrichting & -verzorging;1995;Bibliotheek AMFI
369.6;TM010107;Commercieel presenteren in een winkelorganisatie A;1993;Bibliotheek AMFI
369.6;HV114488;Event design yearbook;2012;Bibliotheek AMFI
369.6;TM042905;Fitch on retail design;1990;Bibliotheek AMFI
369.6;HV013864;Folding patterns for display & publicity;2002;Bibliotheek AMFI
369.6;HV056195;Forefront;2005;Bibliotheek AMFI
369.6;TM014250;Cybershops;2000;Bibliotheek AMFI
369.6;TM014184;Vergelijkend onderzoek De Efteling, Six Flags Holland;2000;Bibliotheek AMFI
369.6;TM024883;Visual merchandising and store design workbook;1998;Bibliotheek AMFI
369.6;TM017925;Thebudget guide to retail store planning & design;1995;Bibliotheek AMFI
369.6;TM017112;Great store design 2;1996;Bibliotheek AMFI
369.6;FM002021;Design im Verkaufsraum;2001;Bibliotheek AMFI
369.6;FM003956;Lèche-vitrines;2003;Bibliotheek AMFI
369.6;HV039576;Absolutely fabulous!;2006;Bibliotheek AMFI
369.6;HV062520;Happening;2006;Bibliotheek AMFI
369.6;FM002770;Harvard Design School guide to shopping;2001;Bibliotheek AMFI
